idx,claim_id,claim,ground_truth,pred_label,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,e2e_latency_sec,triage_latency,retrieval_text_latency,retrieval_visual_latency,factual_verifier_latency,generator_latency,text_retrieval_calls,image_retrieval_calls,hallucination_free,claim_support_consistency
1,119713,'I am for protecting pre-existing conditions. ... I actually co-sponsored legislation to do just that.,supported,NEI,1726,1184,542,0.004448,13.5276,2.3335,0.0008,,1.9448,4.9153,1,0,1,1
2,102905,'Iowa ranks 45th in the U.S. for internet connectivity.,supported,Supported,2439,1819,620,0.005108,11.8143,2.0116,0.0127,,1.3924,3.5728,1,0,1,1
3,100624,"'When I became governor, we banned sanctuary cities and we also did E-Verify.",supported,NEI,3613,2942,671,0.005558,13.0333,1.5417,0.0192,,1.5299,5.3052,1,0,0,0
4,108320,"'Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.",supported,NEI,1910,1269,641,0.004951,12.561,1.3948,0.0009,,2.1238,4.0544,1,0,0,0
5,107609,"'Over the past two years, climate and weather disaster damage has cost the U.S. over $400 billion.",supported,Refuted,1881,1299,582,0.004508,12.5395,2.4674,0.0009,,2.3213,3.3152,1,0,0,0
6,106489,Says San Antonio has 'the lowest per capita income of any major Texas city.,supported,Refuted,1611,1074,537,0.00429,10.509,1.7679,0.0008,,1.5994,3.303,1,0,0,0
7,103487,Opposition to having a fully elected Chicago Board of Education is in the 'super minority.,supported,NEI,1719,1126,593,0.004882,11.1762,1.4813,0.0008,,1.3202,4.4128,1,0,0,1
8,102664,"In COVID-19 crisis, 'only 20% of African Americans had jobs where they could work from home.",supported,Supported,2969,2394,575,0.004791,12.2324,2.8672,0.0118,,1.1552,3.4777,1,0,0,1
9,117115,'Overdose deaths in WV are up 45% from the prior year.,supported,Supported,1913,1278,635,0.005214,10.9904,1.4192,0.0008,,1.2271,4.4624,1,0,1,1
10,102308,"During the 1918 flu pandemic, San Francisco residents formed the 'Anti-Mask League.' San Francisco 'was ultimately one of the cities that suffered the most with a high death rate.",supported,Supported,1912,1211,701,0.005699,12.3806,1.989,0.0012,,1.8559,4.6284,1,0,1,0
11,118205,"After the American Rescue Plan's food and nutrition assistance, 'hunger is already sharply down in the United States.",supported,NEI,1769,1169,600,0.004986,10.8309,1.4811,0.0011,,1.4365,4.096,1,0,1,1
12,112432,'Car thefts (are) increasing in 8 of the 10 most populous (Wisconsin) counties.,supported,NEI,1793,1183,610,0.004987,16.2706,1.7429,0.0008,,4.4781,5.9795,1,0,1,0
13,100730,The Biden administration's American Jobs Plan will be 'the biggest non-defense investment in research and development in the history of our country.,supported,NEI,1853,1200,653,0.005349,14.7798,1.5696,0.0012,,2.388,5.7579,1,0,0,1
14,100723,'I've released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn't released one.,supported,NEI,2423,1790,633,0.005369,15.7523,1.4797,0.0028,,1.2959,5.0128,1,0,1,1
15,102469,'Wisconsin is the only state where all Republicans voted against protecting its citizens.,supported,NEI,1707,1047,660,0.005385,13.1948,2.0694,0.0007,,1.649,5.7435,1,0,1,0
16,106314,Photos show six fires around the world 'in the last 24 hours.,supported,Refuted,1819,1261,558,0.00451,11.6727,1.8926,0.0048,,1.3305,4.2077,1,0,0,0
17,107001,"Insulin prices have 'gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.",supported,NEI,1849,1225,624,0.005265,11.847,1.5573,0.001,,1.2679,5.6489,1,0,1,1
18,115510,There's a 'direct correlation' between North Carolina's mask requirement and COVID-19 stabilization.,supported,NEI,2573,1800,773,0.006534,13.1705,1.3459,0.004,,1.6022,5.2698,1,0,1,1
19,118307,'Nancy Mace denies climate change.,supported,NEI,1763,1147,616,0.005171,11.5871,1.6124,0.0007,,1.4491,4.4235,1,0,0,0
20,100640,"Every time outgoing New York Gov. Andrew Cuomo 'says the firearm industry 'is immune from lawsuits,' it's false.",supported,NEI,3184,2509,675,0.005582,12.4072,1.0612,0.0214,,2.0938,5.0789,1,0,1,1
21,117654,"Says President Trump said coronavirus testing makes the U.S. look bad, 'so I said to my people, 'Slow the testing down.",supported,NEI,1921,1272,649,0.00555,10.9312,1.4471,0.0013,,1.2363,4.435,1,0,1,1
22,105430,"'Pelosi's new coronavirus bill allows illegals to receive billions in relief funds in past, current, and future payments.",supported,NEI,2047,1365,682,0.005612,13.6674,1.6286,0.0014,,1.6577,5.1171,1,0,0,0
23,120262,'86% of Americans and 82% of gun owners support requiring all gun buyers to pass a background check.,supported,NEI,1815,1167,648,0.005196,12.954,1.6514,0.001,,1.7422,4.8034,1,0,1,0
24,112353,"Says Rebecca Kleefisch played a key role in the Foxconn deal, 'the largest attempted government handout to a foreign company in American history.",supported,NEI,1996,1317,679,0.005587,12.2235,1.5375,0.0011,,1.5396,4.2889,1,0,1,1
25,106406,'Two-thirds of Americans disapprove of Donald Trump not wearing a face mask in public.,supported,NEI,1806,1181,625,0.005212,13.0424,1.3494,0.0009,,1.4641,4.8053,1,0,0,1
26,113092,'We know mask mandates work. There's enough evidence out there between counties that have done it and counties that haven't.,supported,NEI,2379,1739,640,0.005314,13.0663,1.6737,0.0013,,1.4303,5.3562,1,0,1,1
27,118203,"'If the vaccine came out tomorrow, how in the heck would we get it to people? There is no game plan.",supported,NEI,1800,1158,642,0.005287,20.891,1.5449,0.001,,1.4001,4.9538,1,0,1,1
28,108366,'(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.,supported,NEI,1966,1304,662,0.005631,13.0415,1.6789,0.0012,,1.3263,5.352,1,0,1,1
29,100343,'We're the only major gas-producing state in the US that doesn't have a severance tax.,supported,NEI,3513,2863,650,0.00543,17.0514,1.231,0.0095,,1.6909,9.537,1,0,1,1
