idx,claim_id,claim,ground_truth,pred_label,total_tokens,prompt_tokens,completion_tokens,total_cost_usd,e2e_latency_sec,triage_latency,retrieval_text_latency,retrieval_visual_latency,factual_verifier_latency,generator_latency,text_retrieval_calls,image_retrieval_calls,hallucination_free,claim_support_consistency,verdict_factual,verdict_entity,verdict_spatiotemporal,verdict_visual
1,119713,'I am for protecting pre-existing conditions. ... I actually co-sponsored legislation to do just that.,supported,Supported,2890,2414,476,0.004713,8.8693,1.8312,0.0005,,1.821,2.3224,1,0,1,1,Supported,Supported,Supported,Supported
13,100730,The Biden administration's American Jobs Plan will be 'the biggest non-defense investment in research and development in the history of our country.,supported,NEI,2343,1825,518,0.004742,11.6974,1.8983,0.0011,,1.6087,3.9286,1,0,0,1,Supported,Supported,NEI,NEI
2,102905,'Iowa ranks 45th in the U.S. for internet connectivity.,supported,Supported,3524,3017,507,0.00502,8.3116,1.5218,0.0125,,1.6339,2.3962,1,0,0,1,Supported,Supported,Supported,Supported
14,100723,'I've released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn't released one.,supported,NEI,2970,2428,542,0.00515,9.9843,1.4205,0.0027,,1.5555,2.7239,1,0,1,0,Supported,Supported,NEI,NEI
3,100624,"'When I became governor, we banned sanctuary cities and we also did E-Verify.",supported,Refuted,4767,4165,602,0.005766,11.977,1.81,0.0194,,2.0314,3.42,1,0,0,0,Refuted,Refuted,Refuted,Supported
15,102469,'Wisconsin is the only state where all Republicans voted against protecting its citizens.,supported,NEI,2137,1622,515,0.004984,14.715,2.4028,0.0007,,5.9589,2.6424,1,0,1,0,Refuted,Supported,NEI,NEI
4,108320,"'Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.",supported,Supported,3082,2489,593,0.005427,17.0969,1.9573,0.0009,,1.7656,2.541,1,0,1,0,Refuted,Supported,Supported,Supported
16,106314,Photos show six fires around the world 'in the last 24 hours.,supported,Refuted,2314,1860,454,0.004354,10.644,1.8848,0.0046,,1.4165,2.7817,1,0,0,0,Refuted,Refuted,Refuted,NEI
5,107609,"'Over the past two years, climate and weather disaster damage has cost the U.S. over $400 billion.",supported,Refuted,3076,2515,561,0.005235,9.6141,1.6484,0.0009,,1.6653,3.0167,1,0,0,0,Refuted,Refuted,Refuted,Supported
17,107001,"Insulin prices have 'gone THRU THE ROOF for patients/taxpayers bc of manufacturer, health plan & PBM biz practices.",supported,NEI,2401,1834,567,0.00551,10.0408,1.5475,0.0009,,1.3445,3.357,1,0,1,1,Supported,Supported,NEI,NEI
